# Timestamp KF, Num CovKFs, Num KFs, Num RecentMPs, Num MPs, processKF, MPCulling, CreateMP, SearchNeigh, BA, KFCulling, [numFixKF_LBA]
39088300000,15,162,1366,13203,28.226686,3.031041,70.619248,93.205641,245.961253,3.420542,19
39399320000,15,163,1414,13326,22.733779,0.837909,58.776820,82.077526,98.767086,18.237343,18
39710390000,14,164,1414,13397,21.713587,0.983812,61.608857,66.183174,137.687466,16.010401,19
40021440000,14,165,1385,13487,25.191801,0.874448,60.524354,67.810181,134.920807,15.122905,20
40332560000,14,166,1399,13606,26.792136,0.993695,64.012055,62.751367,137.176693,20.331695,21
40643620000,15,167,1411,13694,20.401124,0.856532,70.536987,65.131912,101.449036,2.582186,21
40850980000,2,168,1216,13945,18.603603,0.731296,93.720351,0.000293,0.000000,0.000000,0
40954720000,2,169,1126,13945,21.972970,0.884122,100.211321,0.000132,0.000000,0.000000,0
41058450000,3,170,1174,14075,18.881566,0.699760,105.178105,0.000141,0.000000,0.000000,0
41162090000,3,171,1158,14301,16.495764,0.472124,101.809146,0.000131,0.000000,0.000000,0
41265810000,3,172,1383,14187,15.878642,0.426648,132.099554,21.106248,11.137861,0.783967,35
41473270000,15,173,1340,14078,15.891044,0.459264,101.154600,41.250044,119.696257,2.686067,27
41680520000,16,174,1491,14154,16.914594,0.735998,138.042966,73.610258,153.656806,2.991256,27
41991400000,17,175,1419,14192,16.176307,0.902444,148.868355,74.586804,28.833500,3.382655,27
42301840000,17,176,1447,14328,16.495202,0.778626,140.629673,94.174203,161.329774,2.906282,28
42612350000,19,177,1507,14489,17.459191,1.209071,127.309772,102.780603,258.747468,3.152450,27
43026190000,18,178,1300,14463,16.946216,4.746865,85.312745,90.882087,203.367355,6.171640,29
43543500000,13,179,1003,14379,17.415073,1.342926,43.028410,79.585152,108.254348,5.130351,35
43854350000,13,180,1302,14705,17.761546,0.641193,45.072190,71.033530,105.665443,2.806988,36
44165420000,8,181,1327,14806,16.811746,0.832635,40.561063,64.294398,111.816368,2.291421,42
44476270000,6,182,1263,14834,16.366452,0.775236,53.106778,53.005006,101.359118,2.331173,44
44787490000,5,183,1266,14946,15.739594,0.872816,74.691438,50.081647,86.462107,2.474968,46
45098960000,6,184,1195,15007,15.262476,0.676729,66.466898,40.408563,92.904121,2.091216,46
45410680000,5,185,1081,14972,15.307244,0.975223,43.260384,35.385026,48.975018,1.221598,19
45618560000,5,186,1053,14981,14.152234,0.538584,71.043361,36.202062,61.694523,1.056992,16
45826510000,6,187,1054,14988,28.843628,0.701054,72.570791,40.660609,78.436625,1.193978,16
46138420000,7,188,1211,15167,26.659192,5.011989,87.828886,66.590322,84.104546,1.646182,16
46450210000,8,189,1291,15325,20.972759,0.713376,87.734659,47.770029,109.868917,1.647381,16
